model_id,audit_id,image_id,rule_id,final_answer_label,predicted_answer,answer_correct,final_ambiguous,final_label_source,florence_bootstrap_disagreement
ai_annotator_1,audit_001_0013,0000046,ppe_hard_hat,compliant,compliant,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0013,0000046,ppe_hard_hat,compliant,compliant,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0014,0000059,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0014,0000059,ppe_hard_hat,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0014,0000059,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0014,0000059,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0015,0000068,ppe_hard_hat,violation,violation,true,no,returned_adjudication,True
florence_grounding,audit_001_0015,0000068,ppe_hard_hat,violation,compliant,false,no,returned_adjudication,True
ai_annotator_1,audit_001_0015,0000068,ppe_hard_hat,violation,uncertain,false,no,returned_adjudication,True
ai_annotator_2,audit_001_0015,0000068,ppe_hard_hat,violation,compliant,false,no,returned_adjudication,True
model_assisted_bootstrap,audit_001_0016,0000072,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0016,0000072,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0016,0000072,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0016,0000072,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0017,0000095,ppe_hard_hat,uncertain,violation,false,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0017,0000095,ppe_hard_hat,uncertain,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0017,0000095,ppe_hard_hat,uncertain,uncertain,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0017,0000095,ppe_hard_hat,uncertain,uncertain,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0018,0000102,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0018,0000102,ppe_hard_hat,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0018,0000102,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0018,0000102,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0019,0000116,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0019,0000116,ppe_hard_hat,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0019,0000116,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0019,0000116,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0020,0000118,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0020,0000118,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0020,0000118,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0020,0000118,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0021,0000229,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0021,0000229,ppe_hard_hat,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0021,0000229,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0021,0000229,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0022,0000328,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0022,0000328,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0022,0000328,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0022,0000328,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0023,0000386,ppe_hard_hat,compliant,violation,false,no,dual_annotator_agreement,True
florence_grounding,audit_001_0023,0000386,ppe_hard_hat,compliant,compliant,true,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0023,0000386,ppe_hard_hat,compliant,compliant,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0023,0000386,ppe_hard_hat,compliant,compliant,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0024,0000398,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0024,0000398,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0024,0000398,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0024,0000398,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0025,0000424,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0025,0000424,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0025,0000424,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0025,0000424,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0026,0000545,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0026,0000545,ppe_hard_hat,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0026,0000545,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0026,0000545,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0027,0000564,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0027,0000564,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0027,0000564,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0027,0000564,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0028,0000599,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0028,0000599,ppe_hard_hat,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0028,0000599,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0028,0000599,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0029,0000623,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0029,0000623,ppe_hard_hat,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0029,0000623,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0029,0000623,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0030,0000645,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0030,0000645,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0030,0000645,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0030,0000645,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0031,0000651,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0031,0000651,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0031,0000651,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0031,0000651,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0032,0000729,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0032,0000729,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0032,0000729,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0032,0000729,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0033,0000795,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0033,0000795,ppe_hard_hat,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0033,0000795,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0033,0000795,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0034,0000833,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0034,0000833,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0034,0000833,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0034,0000833,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0035,0000842,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0035,0000842,ppe_hard_hat,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0035,0000842,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0035,0000842,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0036,0000901,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0036,0000901,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0036,0000901,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0036,0000901,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0037,0000987,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0037,0000987,ppe_hard_hat,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0037,0000987,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0037,0000987,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0038,0001077,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0038,0001077,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0038,0001077,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0038,0001077,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0039,0001120,ppe_hard_hat,compliant,violation,false,no,dual_annotator_agreement,True
florence_grounding,audit_001_0039,0001120,ppe_hard_hat,compliant,compliant,true,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0039,0001120,ppe_hard_hat,compliant,compliant,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0039,0001120,ppe_hard_hat,compliant,compliant,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0040,0001135,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0040,0001135,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0040,0001135,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0040,0001135,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0041,0001141,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0041,0001141,ppe_hard_hat,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0041,0001141,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0041,0001141,ppe_hard_hat,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0042,0001451,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0042,0001451,fall_harness,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0042,0001451,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0042,0001451,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0043,0002092,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0043,0002092,fall_harness,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0043,0002092,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0043,0002092,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0044,0003632,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0044,0003632,fall_harness,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0044,0003632,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0044,0003632,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0045,0000020,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0045,0000020,guardrail_edge,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0045,0000020,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0045,0000020,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0046,0000079,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0046,0000079,guardrail_edge,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0046,0000079,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0046,0000079,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0047,0000117,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0047,0000117,guardrail_edge,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0047,0000117,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0047,0000117,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0048,0000232,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0048,0000232,guardrail_edge,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0048,0000232,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0048,0000232,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0049,0000370,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0049,0000370,guardrail_edge,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0049,0000370,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0049,0000370,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0050,0001081,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0050,0001081,guardrail_edge,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0050,0001081,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0050,0001081,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0051,0001087,guardrail_edge,compliant,violation,false,no,returned_adjudication,True
florence_grounding,audit_001_0051,0001087,guardrail_edge,compliant,compliant,true,no,returned_adjudication,True
ai_annotator_1,audit_001_0051,0001087,guardrail_edge,compliant,violation,false,no,returned_adjudication,True
ai_annotator_2,audit_001_0051,0001087,guardrail_edge,compliant,compliant,true,no,returned_adjudication,True
model_assisted_bootstrap,audit_001_0052,0001473,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0052,0001473,guardrail_edge,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0052,0001473,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0052,0001473,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0053,0001520,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0053,0001520,guardrail_edge,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0053,0001520,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0053,0001520,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0054,0001623,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0054,0001623,guardrail_edge,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0054,0001623,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0054,0001623,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0055,0001716,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0055,0001716,guardrail_edge,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0055,0001716,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0055,0001716,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0056,0002150,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0056,0002150,guardrail_edge,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0056,0002150,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0056,0002150,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0057,0002178,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0057,0002178,guardrail_edge,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0057,0002178,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0057,0002178,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0058,0003613,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0058,0003613,guardrail_edge,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0058,0003613,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0058,0003613,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0059,0004111,guardrail_edge,compliant,violation,false,yes,returned_adjudication,True
florence_grounding,audit_001_0059,0004111,guardrail_edge,compliant,compliant,true,yes,returned_adjudication,True
ai_annotator_1,audit_001_0059,0004111,guardrail_edge,compliant,violation,false,yes,returned_adjudication,True
ai_annotator_2,audit_001_0059,0004111,guardrail_edge,compliant,compliant,true,yes,returned_adjudication,True
model_assisted_bootstrap,audit_001_0060,0004552,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0060,0004552,guardrail_edge,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0060,0004552,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0060,0004552,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0061,0003813,struck_by_equipment,compliant,violation,false,yes,returned_adjudication,True
florence_grounding,audit_001_0061,0003813,struck_by_equipment,compliant,compliant,true,yes,returned_adjudication,True
ai_annotator_1,audit_001_0061,0003813,struck_by_equipment,compliant,uncertain,false,yes,returned_adjudication,True
ai_annotator_2,audit_001_0061,0003813,struck_by_equipment,compliant,compliant,true,yes,returned_adjudication,True
model_assisted_bootstrap,audit_001_0062,0000149,fall_harness,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0062,0000149,fall_harness,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0062,0000149,fall_harness,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0062,0000149,fall_harness,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0063,0000332,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0063,0000332,fall_harness,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0063,0000332,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0063,0000332,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0064,0000874,fall_harness,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0064,0000874,fall_harness,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0064,0000874,fall_harness,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0064,0000874,fall_harness,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0065,0001065,fall_harness,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0065,0001065,fall_harness,violation,compliant,false,no,dual_annotator_agreement,True
