intervention_id,image_id,rule_id,intervention_type,seed,target_box_xyxy,mask_box_xyxy,mask_target_iou,model_id,prompt_id,answer,evidence_regions_xyxy,worker_boxes_xyxy,object_boxes_xyxy,confidence,graded_score,raw_response,provenance
0000022:guardrail_edge:matched_random:45,0000022,guardrail_edge,matched_random_occlusion,45,,"[128,1,907,765]",0.7161385757476583,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[0,0,133,764]]","[[0,0,906,764],[0,0,134,764]]","[[0,0,133,764]]",0.7533757534216751,1.0,"{""legacy_rule_id"":""rule_3"",""source_answer"":""compliant"",""worker_boxes"":[[0,0,906,764],[0,0,134,764]],""object_boxes"":[[0,0,133,764]],""confidence"":0.7533757534216751,""graded_score"":1.0,""inference_ms"":231.78239999106154,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000022:guardrail_edge:matched_random:46,0000022,guardrail_edge,matched_random_occlusion,46,,"[128,1,907,765]",0.7161385757476583,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[0,0,133,764]]","[[0,0,906,764],[0,0,134,764]]","[[0,0,133,764]]",0.7533757534216751,1.0,"{""legacy_rule_id"":""rule_3"",""source_answer"":""compliant"",""worker_boxes"":[[0,0,906,764],[0,0,134,764]],""object_boxes"":[[0,0,133,764]],""confidence"":0.7533757534216751,""graded_score"":1.0,""inference_ms"":214.82329996069893,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000023:ppe_hard_hat:targeted,0000023,ppe_hard_hat,targeted_occlusion,,"[602,298,617,312]","[602,298,617,312]",1.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[601,296,621,315]]",[],"[[601,296,621,315]]",0.5934205603284332,nan,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[],""object_boxes"":[[601,296,621,315]],""confidence"":0.5934205603284332,""graded_score"":NaN,""inference_ms"":236.66019999654964,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000023:ppe_hard_hat:matched_random:42,0000023,ppe_hard_hat,matched_random_occlusion,42,,"[261,848,276,862]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[602,298,617,312]]",[],"[[602,298,617,312]]",0.5847393264635824,nan,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[],""object_boxes"":[[602,298,617,312]],""confidence"":0.5847393264635824,""graded_score"":NaN,""inference_ms"":231.9069000077434,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000023:ppe_hard_hat:matched_random:43,0000023,ppe_hard_hat,matched_random_occlusion,43,,"[407,8,422,22]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[603,298,617,312]]",[],"[[603,298,617,312]]",0.5822449487705643,nan,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[],""object_boxes"":[[603,298,617,312]],""confidence"":0.5822449487705643,""graded_score"":NaN,""inference_ms"":248.68190003326163,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000023:ppe_hard_hat:matched_random:44,0000023,ppe_hard_hat,matched_random_occlusion,44,,"[74,167,89,181]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[602,298,617,312]]",[],"[[602,298,617,312]]",0.5781116990300899,nan,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[],""object_boxes"":[[602,298,617,312]],""confidence"":0.5781116990300899,""graded_score"":NaN,""inference_ms"":232.11809998610988,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000023:ppe_hard_hat:matched_random:45,0000023,ppe_hard_hat,matched_random_occlusion,45,,"[274,601,289,615]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[602,298,617,312]]",[],"[[602,298,617,312]]",0.5801003123633564,nan,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[],""object_boxes"":[[602,298,617,312]],""confidence"":0.5801003123633564,""graded_score"":NaN,""inference_ms"":231.44880001200363,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000023:ppe_hard_hat:matched_random:46,0000023,ppe_hard_hat,matched_random_occlusion,46,,"[95,270,110,284]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[603,298,617,312]]",[],"[[603,298,617,312]]",0.5816301193016653,nan,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[],""object_boxes"":[[603,298,617,312]],""confidence"":0.5816301193016653,""graded_score"":NaN,""inference_ms"":232.18930000439286,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000034:fall_harness:targeted,0000034,fall_harness,targeted_occlusion,,"[490,330,520,407]","[490,330,520,407]",1.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[484,326,528,416]]","[[430,276,512,453]]","[[484,326,528,416]]",0.6482350219573294,1.0,"{""legacy_rule_id"":""rule_2"",""source_answer"":""compliant"",""worker_boxes"":[[430,276,512,453]],""object_boxes"":[[484,326,528,416]],""confidence"":0.6482350219573294,""graded_score"":1.0,""inference_ms"":198.07340000988916,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000034:fall_harness:matched_random:42,0000034,fall_harness,matched_random_occlusion,42,,"[436,91,466,168]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[490,330,520,407]]","[[430,276,516,453]]","[[490,330,520,407]]",0.6211772355517107,1.0,"{""legacy_rule_id"":""rule_2"",""source_answer"":""compliant"",""worker_boxes"":[[430,276,516,453]],""object_boxes"":[[490,330,520,407]],""confidence"":0.6211772355517107,""graded_score"":1.0,""inference_ms"":197.38069997401908,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000034:fall_harness:matched_random:43,0000034,fall_harness,matched_random_occlusion,43,,"[736,644,766,721]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[490,330,520,407]]","[[430,276,516,453]]","[[490,330,520,407]]",0.621492604924632,1.0,"{""legacy_rule_id"":""rule_2"",""source_answer"":""compliant"",""worker_boxes"":[[430,276,516,453]],""object_boxes"":[[490,330,520,407]],""confidence"":0.621492604924632,""graded_score"":1.0,""inference_ms"":218.74129999196157,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000034:fall_harness:matched_random:44,0000034,fall_harness,matched_random_occlusion,44,,"[185,506,215,583]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[490,330,520,407]]","[[430,276,516,453]]","[[490,330,520,407]]",0.6206748097735857,1.0,"{""legacy_rule_id"":""rule_2"",""source_answer"":""compliant"",""worker_boxes"":[[430,276,516,453]],""object_boxes"":[[490,330,520,407]],""confidence"":0.6206748097735857,""graded_score"":1.0,""inference_ms"":198.88759998138994,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000034:fall_harness:matched_random:45,0000034,fall_harness,matched_random_occlusion,45,,"[760,491,790,568]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[490,330,520,407]]","[[430,276,516,453]]","[[490,330,520,407]]",0.6205374669017536,1.0,"{""legacy_rule_id"":""rule_2"",""source_answer"":""compliant"",""worker_boxes"":[[430,276,516,453]],""object_boxes"":[[490,330,520,407]],""confidence"":0.6205374669017536,""graded_score"":1.0,""inference_ms"":203.13689997419715,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000034:fall_harness:matched_random:46,0000034,fall_harness,matched_random_occlusion,46,,"[411,186,441,263]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[490,330,520,407]]","[[430,276,516,453]]","[[490,330,520,407]]",0.6223787467128464,1.0,"{""legacy_rule_id"":""rule_2"",""source_answer"":""compliant"",""worker_boxes"":[[430,276,516,453]],""object_boxes"":[[490,330,520,407]],""confidence"":0.6223787467128464,""graded_score"":1.0,""inference_ms"":195.43949997751042,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000037:ppe_hard_hat:targeted,0000037,ppe_hard_hat,targeted_occlusion,,"[1183,6,1198,32]","[1183,6,1198,32]",1.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[692,397,757,448]]","[[682,397,802,681]]","[[692,397,757,448]]",0.5336530597082206,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[682,397,802,681]],""object_boxes"":[[692,397,757,448]],""confidence"":0.5336530597082206,""graded_score"":1.0,""inference_ms"":226.19590000249445,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000037:ppe_hard_hat:matched_random:42,0000037,ppe_hard_hat,matched_random_occlusion,42,,"[137,554,152,580]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[692,397,757,448]]","[[682,397,802,681]]","[[692,397,757,448]]",0.5540334112676126,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[682,397,802,681]],""object_boxes"":[[692,397,757,448]],""confidence"":0.5540334112676126,""graded_score"":1.0,""inference_ms"":209.16079997550696,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000037:ppe_hard_hat:matched_random:43,0000037,ppe_hard_hat,matched_random_occlusion,43,,"[145,471,160,497]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[692,397,757,447]]","[[682,397,802,681]]","[[692,397,757,447]]",0.5543228664568493,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[682,397,802,681]],""object_boxes"":[[692,397,757,447]],""confidence"":0.5543228664568493,""graded_score"":1.0,""inference_ms"":213.67760002613068,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000037:ppe_hard_hat:matched_random:44,0000037,ppe_hard_hat,matched_random_occlusion,44,,"[964,301,979,327]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[692,397,757,448]]","[[682,397,802,681]]","[[692,397,757,448]]",0.5555046502101635,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[682,397,802,681]],""object_boxes"":[[692,397,757,448]],""confidence"":0.5555046502101635,""graded_score"":1.0,""inference_ms"":200.56329999351874,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000037:ppe_hard_hat:matched_random:45,0000037,ppe_hard_hat,matched_random_occlusion,45,,"[841,779,856,805]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[692,397,757,448]]","[[682,397,802,681]]","[[692,397,757,448]]",0.5266814786231234,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[682,397,802,681]],""object_boxes"":[[692,397,757,448]],""confidence"":0.5266814786231234,""graded_score"":1.0,""inference_ms"":224.11880001891404,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000037:ppe_hard_hat:matched_random:46,0000037,ppe_hard_hat,matched_random_occlusion,46,,"[289,408,304,434]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[692,397,757,448]]","[[682,397,802,681]]","[[692,397,757,448]]",0.5551612486264536,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[682,397,802,681]],""object_boxes"":[[692,397,757,448]],""confidence"":0.5551612486264536,""graded_score"":1.0,""inference_ms"":199.17480001458898,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000057:ppe_hard_hat:targeted,0000057,ppe_hard_hat,targeted_occlusion,,"[118,375,145,396]","[118,375,145,396]",1.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,violation,"[[163,373,185,391]]","[[374,383,435,444]]","[[163,373,185,391]]",0.4717626968576085,0.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[374,383,435,444]],""object_boxes"":[[163,373,185,391]],""confidence"":0.4717626968576085,""graded_score"":0.0,""inference_ms"":235.1141999824904,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000057:ppe_hard_hat:matched_random:42,0000057,ppe_hard_hat,matched_random_occlusion,42,,"[758,695,785,716]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,violation,"[[718,306,737,324]]","[[110,374,166,451]]","[[718,306,737,324]]",0.4057410471776331,0.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[110,374,166,451]],""object_boxes"":[[718,306,737,324]],""confidence"":0.4057410471776331,""graded_score"":0.0,""inference_ms"":272.40319998236373,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000057:ppe_hard_hat:matched_random:43,0000057,ppe_hard_hat,matched_random_occlusion,43,,"[77,678,104,699]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[118,375,145,396],[163,373,185,391],[376,385,394,403]]","[[110,374,166,451]]","[[118,375,145,396],[163,373,185,391],[376,385,394,403]]",0.4032659769820219,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[110,374,166,451]],""object_boxes"":[[118,375,145,396],[163,373,185,391],[376,385,394,403]],""confidence"":0.4032659769820219,""graded_score"":1.0,""inference_ms"":260.635300015565,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000057:ppe_hard_hat:matched_random:44,0000057,ppe_hard_hat,matched_random_occlusion,44,,"[464,500,491,521]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[118,375,145,396],[163,373,185,391],[376,385,394,403]]","[[110,374,166,451]]","[[118,375,145,396],[163,373,185,391],[376,385,394,403]]",0.4025946065402505,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[110,374,166,451]],""object_boxes"":[[118,375,145,396],[163,373,185,391],[376,385,394,403]],""confidence"":0.4025946065402505,""graded_score"":1.0,""inference_ms"":267.3347999807447,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000057:ppe_hard_hat:matched_random:45,0000057,ppe_hard_hat,matched_random_occlusion,45,,"[20,324,47,345]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[118,375,145,396],[163,373,185,391],[376,385,394,403]]","[[110,374,166,451]]","[[118,375,145,396],[163,373,185,391],[376,385,394,403]]",0.4217970312207139,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[110,374,166,451]],""object_boxes"":[[118,375,145,396],[163,373,185,391],[376,385,394,403]],""confidence"":0.4217970312207139,""graded_score"":1.0,""inference_ms"":263.4260000195354,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000057:ppe_hard_hat:matched_random:46,0000057,ppe_hard_hat,matched_random_occlusion,46,,"[187,563,214,584]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,violation,"[[718,306,737,324]]","[[110,374,166,451]]","[[718,306,737,324]]",0.4060118659081954,0.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[110,374,166,451]],""object_boxes"":[[718,306,737,324]],""confidence"":0.4060118659081954,""graded_score"":0.0,""inference_ms"":265.50809998298064,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000069:ppe_hard_hat:targeted,0000069,ppe_hard_hat,targeted_occlusion,,"[506,539,538,567]","[506,539,538,567]",1.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[345,627,381,662],[260,639,296,670],[478,393,513,424],[525,388,559,417],[560,389,593,419]]","[[323,628,386,800]]","[[345,627,381,662],[260,639,296,670],[478,393,513,424],[525,388,559,417],[560,389,593,419]]",0.49569032676074476,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[323,628,386,800]],""object_boxes"":[[345,627,381,662],[260,639,296,670],[478,393,513,424],[525,388,559,417],[560,389,593,419]],""confidence"":0.49569032676074476,""graded_score"":1.0,""inference_ms"":291.0649999976158,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000069:ppe_hard_hat:matched_random:42,0000069,ppe_hard_hat,matched_random_occlusion,42,,"[868,12,900,40]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,violation,"[[506,539,538,567]]","[[323,628,386,800]]","[[506,539,538,567]]",0.5456055273035807,0.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[323,628,386,800]],""object_boxes"":[[506,539,538,567]],""confidence"":0.5456055273035807,""graded_score"":0.0,""inference_ms"":212.02850004192442,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000069:ppe_hard_hat:matched_random:43,0000069,ppe_hard_hat,matched_random_occlusion,43,,"[943,390,975,418]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,violation,"[[506,539,538,567]]","[[323,628,386,800]]","[[506,539,538,567]]",0.5462884227080005,0.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[323,628,386,800]],""object_boxes"":[[506,539,538,567]],""confidence"":0.5462884227080005,""graded_score"":0.0,""inference_ms"":204.17230000020936,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000069:ppe_hard_hat:matched_random:44,0000069,ppe_hard_hat,matched_random_occlusion,44,,"[263,186,295,214]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,violation,"[[506,539,538,567]]","[[323,628,386,800]]","[[506,539,538,567]]",0.5479853255674243,0.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[323,628,386,800]],""object_boxes"":[[506,539,538,567]],""confidence"":0.5479853255674243,""graded_score"":0.0,""inference_ms"":208.77070003189147,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000069:ppe_hard_hat:matched_random:45,0000069,ppe_hard_hat,matched_random_occlusion,45,,"[989,63,1021,91]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,violation,"[[506,539,538,567]]","[[323,628,386,800]]","[[506,539,538,567]]",0.5465909519365856,0.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[323,628,386,800]],""object_boxes"":[[506,539,538,567]],""confidence"":0.5465909519365856,""graded_score"":0.0,""inference_ms"":204.86570004140958,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000069:ppe_hard_hat:matched_random:46,0000069,ppe_hard_hat,matched_random_occlusion,46,,"[18,420,50,448]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,violation,"[[506,539,538,567]]","[[323,628,386,800]]","[[506,539,538,567]]",0.5463759047644479,0.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[323,628,386,800]],""object_boxes"":[[506,539,538,567]],""confidence"":0.5463759047644479,""graded_score"":0.0,""inference_ms"":201.16960001178086,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000074:fall_harness:targeted,0000074,fall_harness,targeted_occlusion,,"[406,726,437,790]","[406,726,437,790]",1.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[417,225,1121,600]]","[[988,564,1017,617]]","[[417,225,1121,600]]",0.4814367147295603,1.0,"{""legacy_rule_id"":""rule_2"",""source_answer"":""compliant"",""worker_boxes"":[[988,564,1017,617]],""object_boxes"":[[417,225,1121,600]],""confidence"":0.4814367147295603,""graded_score"":1.0,""inference_ms"":203.28759995754808,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
